team_A,team_B,team_A_win_percentage,team_A_points_per_game,team_A_assists_per_game,team_A_rebounds_per_game,team_A_top_player_points,team_B_win_percentage,team_B_points_per_game,team_B_assists_per_game,team_B_rebounds_per_game,team_B_top_player_points,match_outcome
Philadelphia 76ers,Oklahoma City Thunder,0.573170731707317,7.2821428571428575,1.717857142857143,0.22017285390689878,34.7,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Phoenix Suns,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.5975609756097561,7.4772727272727275,1.7409090909090907,0.09165818623349264,27.1,1
Phoenix Suns,Oklahoma City Thunder,0.5975609756097561,7.4772727272727275,1.7409090909090907,0.09165818623349264,27.1,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Indiana Pacers,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.573170731707317,8.322727272727272,2.0045454545454544,0.08645919133527388,21.3,1
Indiana Pacers,Oklahoma City Thunder,0.573170731707317,8.322727272727272,2.0045454545454544,0.08645919133527388,21.3,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Golden State Warriors,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.5609756097560976,8.2,2.1944444444444446,0.0750781343217931,26.4,1
Golden State Warriors,Oklahoma City Thunder,0.5609756097560976,8.2,2.1944444444444446,0.0750781343217931,26.4,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Milwaukee Bucks,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.5975609756097561,7.276190476190477,1.7428571428571429,0.0855801701246148,30.4,1
Milwaukee Bucks,Oklahoma City Thunder,0.5975609756097561,7.276190476190477,1.7428571428571429,0.0855801701246148,30.4,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Cleveland Cavaliers,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.5853658536585366,8.88888888888889,2.2555555555555555,0.08754438947526076,26.6,1
Cleveland Cavaliers,Oklahoma City Thunder,0.5853658536585366,8.88888888888889,2.2555555555555555,0.08754438947526076,26.6,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Dallas Mavericks,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.6097560975609756,8.472727272727273,1.781818181818182,0.1436807294391014,33.9,1
