Player,Team,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Franz Wagner,Orlando Magic,SF,72,32.5,7.3,15.2,0.482,1.3,4.6,0.281,3.8,4.4,0.85,1.0,4.3,5.3,3.7,1.1,0.4,1.9,2.3,19.7
Mikal Bridges,Brooklyn Nets,SF,82,34.8,6.9,15.8,0.436,2.7,7.2,0.372,3.1,3.9,0.814,0.8,3.7,4.5,3.6,1.0,0.4,2.0,1.4,19.6
Jalen Green,Houston Rockets,SG,82,31.7,6.9,16.2,0.423,2.5,7.4,0.332,3.5,4.3,0.804,0.5,4.7,5.2,3.5,0.8,0.3,2.3,1.4,19.6
Zach LaVine,Chicago Bulls,SG,25,34.9,6.8,15.0,0.452,2.4,6.8,0.349,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5
Devin Vassell,San Antonio Spurs,SG,68,33.1,7.3,15.5,0.472,2.4,6.6,0.372,2.4,3.0,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5
Domantas Sabonis,Sacramento Kings,C,82,35.7,7.7,13.0,0.594,0.4,1.1,0.379,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3.0,19.4
Bam Adebayo,Miami Heat,C,71,34.0,7.5,14.3,0.521,0.2,0.6,0.357,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3
Coby White,Chicago Bulls,PG,79,36.5,6.8,15.3,0.447,2.6,7.0,0.376,2.8,3.3,0.838,0.6,4.0,4.5,5.1,0.7,0.2,2.1,2.4,19.1
Jalen Williams,Oklahoma City Thunder,PF,71,31.3,7.5,14.0,0.54,1.5,3.4,0.427,2.5,3.1,0.814,0.5,3.5,4.0,4.5,1.1,0.6,1.7,2.5,19.1
Collin Sexton,Utah Jazz,SG,78,26.6,6.5,13.3,0.487,1.6,4.2,0.394,4.1,4.7,0.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2.0,18.7
Bradley Beal,Phoenix Suns,SG,53,33.3,7.1,13.9,0.513,1.9,4.4,0.43,2.1,2.5,0.813,1.0,3.4,4.4,5.0,1.0,0.5,2.5,2.4,18.2
Darius Garland,Cleveland Cavaliers,PG,57,33.4,6.6,14.8,0.446,2.3,6.2,0.371,2.6,3.1,0.834,0.5,2.1,2.7,6.5,1.3,0.1,3.1,1.7,18.0
D'Angelo Russell,Los Angeles Lakers,PG,76,32.7,6.5,14.2,0.456,3.0,7.2,0.415,2.1,2.5,0.828,0.4,2.7,3.1,6.3,0.9,0.5,2.1,2.1,18.0
Nikola Vucevic,Chicago Bulls,C,76,34.3,7.7,15.9,0.484,1.2,4.1,0.294,1.4,1.7,0.822,2.8,7.8,10.5,3.3,0.7,0.8,1.6,2.5,18.0
Klay Thompson,Golden State Warriors,SF,77,29.7,6.4,14.7,0.432,3.5,9.0,0.387,1.6,1.8,0.927,0.5,2.8,3.3,2.3,0.6,0.5,1.5,1.6,17.9
Jordan Poole,Washington Wizards,SG,78,30.1,6.3,15.2,0.413,2.4,7.2,0.326,2.5,2.8,0.877,0.4,2.3,2.7,4.4,1.1,0.3,2.4,3.1,17.4
Fred VanVleet,Houston Rockets,PG,73,36.8,5.8,13.9,0.416,3.1,8.0,0.387,2.7,3.1,0.86,0.5,3.4,3.8,8.1,1.4,0.8,1.7,2.5,17.4
