id,player,team,position,games_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,wins,losses,margin_of_victory,offensive_rating,defensive_rating,net_rating,true_shooting_percentage,team_points_per_game,win_percentage,match_outcome,rebounds_per_game,player_impact
43,Alperen Sengun,Houston Rockets,C,63,32.5,8.4,15.6,0.537,0.5,1.8,0.297,3.9,5.6,0.693,2.9,6.4,9.3,5.0,1.2,0.7,2.6,3.3,21.1,41,41,1.12,114.5,113.4,1.1,0.565,150.1,0.5,1,0.11341463414634147,0.17463967111356657
45,Jerami Grant,Portland Trail Blazers,PF,54,33.9,7.1,15.7,0.451,2.1,5.1,0.402,4.7,5.8,0.817,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2,21.0,21,61,-9.02,108.3,117.5,-9.2,0.539,196.7,0.25609756097560976,1,0.042682926829268296,0.1212134363336516
46,Jimmy Butler,Miami Heat,PF,60,34.0,6.6,13.2,0.499,1.0,2.4,0.414,6.6,7.7,0.858,1.8,3.6,5.3,5.0,1.3,0.3,1.7,1.1,20.8,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.06463414634146342,0.13996014148453173
47,Tyler Herro,Miami Heat,SG,42,33.5,7.7,17.5,0.441,3.1,7.9,0.396,2.3,2.6,0.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.06463414634146342,0.13725451377890402
48,Brandon Ingram,New Orleans Pelicans,SF,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8,49,33,4.41,117.4,112.9,4.5,0.591,155.0,0.5975609756097561,1,0.062195121951219505,0.17136900078678205
50,RJ Barrett,New York Knicks,SG,26,29.5,6.3,14.9,0.423,1.7,5.0,0.331,4.0,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.0524390243902439,0.10678613766489266
51,RJ Barrett,Toronto Raptors,SG,32,33.5,8.5,15.4,0.553,1.5,3.8,0.392,3.3,5.2,0.629,1.1,5.3,6.4,4.1,0.6,0.4,2.5,2.6,21.8,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.07804878048780488,0.10475019669551534
52,Tyrese Haliburton,Indiana Pacers,PG,69,32.2,7.2,15.2,0.477,2.8,7.8,0.364,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.0475609756097561,0.16956614405029904
53,Kristaps Porzingis,Boston Celtics,C,57,29.6,6.8,13.2,0.516,1.9,5.1,0.375,4.5,5.3,0.858,1.7,5.5,7.2,2.0,0.7,1.9,1.6,2.7,20.1,64,18,11.34,123.2,111.6,11.6,0.609,162.0,0.7804878048780488,1,0.0878048780487805,0.13696175850647396
54,CJ McCollum,New Orleans Pelicans,PG,66,32.7,7.3,16.0,0.459,3.6,8.4,0.429,1.7,2.1,0.827,0.6,3.7,4.3,4.6,0.9,0.6,1.7,1.9,20.0,49,33,4.41,117.4,112.9,4.5,0.591,155.0,0.5975609756097561,1,0.0524390243902439,0.15904799370574352
55,Scottie Barnes,Toronto Raptors,SG,60,34.9,7.5,15.7,0.475,1.7,4.9,0.341,3.3,4.2,0.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2.0,19.9,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.09999999999999999,0.10524193548387098
58,Terry Rozier,Miami Heat,PG,31,31.5,6.1,14.5,0.423,2.1,5.7,0.371,2.0,2.2,0.913,0.6,3.6,4.2,4.6,1.0,0.3,1.3,1.6,16.4,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.051219512195121955,0.11391352549889135
